iter	Passed	Remaining
670	4829	2368
671	4836	2360
672	4843	2353
673	4848	2345
674	4854	2337
675	4860	2329
676	4867	2322
677	4873	2314
678	4878	2306
679	4885	2299
680	4892	2291
681	4898	2284
682	4905	2276
683	4910	2268
684	4916	2260
685	4923	2253
686	4930	2246
687	4936	2238
688	4943	2231
689	4948	2223
690	4954	2215
691	4960	2207
692	4966	2200
693	4973	2192
694	4979	2185
695	4986	2177
696	4993	2170
697	4999	2163
698	5005	2155
699	5011	2147
700	5017	2139
701	5022	2132
702	5028	2124
703	5035	2117
704	5042	2110
705	5049	2102
706	5056	2095
707	5062	2087
708	5068	2080
709	5074	2072
710	5080	2065
711	5087	2057
712	5092	2050
713	5099	2042
714	5105	2035
715	5112	2027
716	5119	2020
717	5126	2013
718	5133	2006
719	5139	1998
720	5146	1991
721	5153	1984
722	5160	1976
723	5167	1969
724	5173	1962
725	5178	1954
726	5184	1946
727	5190	1939
728	5195	1931
729	5201	1923
730	5207	1916
731	5214	1908
732	5220	1901
733	5227	1894
734	5234	1887
735	5240	1879
736	5246	1872
737	5252	1864
738	5258	1857
739	5265	1850
740	5271	1842
741	5276	1834
742	5283	1827
743	5290	1820
744	5297	1813
745	5303	1805
746	5310	1798
747	5316	1791
748	5322	1783
749	5328	1776
750	5334	1768
751	5340	1761
752	5347	1754
753	5354	1747
754	5362	1740
755	5369	1733
756	5376	1725
757	5383	1718
758	5390	1711
759	5397	1704
760	5404	1697
761	5411	1690
762	5418	1682
763	5425	1675
764	5431	1668
765	5438	1661
766	5445	1654
767	5452	1646
768	5458	1639
769	5465	1632
770	5472	1625
771	5479	1618
772	5486	1611
773	5493	1603
774	5500	1596
775	5507	1589
776	5514	1582
777	5520	1575
778	5527	1568
779	5534	1560
780	5541	1553
781	5548	1546
782	5555	1539
783	5562	1532
784	5568	1525
785	5575	1518
786	5582	1510
787	5589	1503
788	5595	1496
789	5602	1489
790	5609	1482
791	5615	1474
792	5622	1467
793	5629	1460
794	5636	1453
795	5643	1446
796	5651	1439
797	5658	1432
798	5667	1425
799	5675	1418
800	5683	1411
801	5691	1405
802	5698	1397
803	5705	1390
804	5712	1383
805	5720	1376
806	5727	1369
807	5734	1362
808	5741	1355
809	5748	1348
810	5756	1341
811	5763	1334
812	5769	1327
813	5776	1320
814	5783	1312
815	5790	1305
816	5797	1298
817	5803	1291
818	5810	1284
819	5817	1276
820	5824	1269
821	5831	1262
822	5837	1255
823	5844	1248
824	5851	1241
825	5857	1233
826	5863	1226
827	5869	1219
828	5876	1212
829	5882	1204
830	5889	1197
831	5896	1190
832	5903	1183
833	5910	1176
834	5916	1169
835	5923	1162
836	5929	1154
837	5935	1147
838	5941	1140
839	5948	1133
840	5955	1125
841	5962	1118
842	5969	1111
843	5975	1104
844	5982	1097
845	5989	1090
846	5996	1083
847	6002	1075
848	6008	1068
849	6014	1061
850	6020	1054
851	6027	1047
852	6034	1039
853	6041	1032
854	6048	1025
855	6055	1018
856	6063	1011
857	6070	1004
858	6077	997
859	6084	990
860	6092	983
861	6099	976
862	6107	969
863	6114	962
864	6122	955
865	6129	948
866	6136	941
867	6144	934
868	6151	927
869	6158	920
870	6165	913
871	6172	906
872	6179	898
873	6186	891
874	6193	884
875	6200	877
876	6207	870
877	6214	863
878	6222	856
879	6229	849
880	6236	842
881	6243	835
882	6250	828
883	6257	821
884	6264	814
885	6271	806
886	6278	799
887	6285	792
888	6291	785
889	6298	778
890	6305	771
891	6311	764
892	6318	757
893	6325	750
894	6332	742
895	6340	735
896	6346	728
897	6353	721
898	6361	714
899	6367	707
900	6375	700
901	6382	693
902	6389	686
903	6396	679
904	6403	672
905	6410	665
906	6417	658
907	6424	650
908	6431	643
909	6437	636
910	6444	629
911	6451	622
912	6458	615
913	6465	608
914	6472	601
915	6479	594
916	6486	587
917	6493	580
918	6500	572
919	6506	565
920	6513	558
921	6520	551
922	6527	544
923	6533	537
924	6540	530
925	6547	523
926	6553	516
927	6560	509
928	6567	501
929	6573	494
930	6580	487
931	6587	480
932	6594	473
933	6601	466
934	6607	459
935	6614	452
936	6621	445
937	6627	438
938	6634	430
939	6640	423
940	6647	416
941	6654	409
942	6660	402
943	6667	395
944	6674	388
945	6681	381
946	6687	374
947	6694	367
948	6701	360
949	6708	353
950	6715	346
951	6722	338
952	6729	331
953	6737	324
954	6744	317
955	6750	310
956	6757	303
957	6764	296
958	6771	289
959	6778	282
960	6784	275
961	6791	268
962	6798	261
963	6805	254
964	6811	247
965	6818	239
966	6824	232
967	6831	225
968	6838	218
969	6845	211
970	6852	204
971	6859	197
972	6866	190
973	6872	183
974	6877	176
975	6884	169
976	6891	162
977	6898	155
978	6904	148
979	6910	141
980	6916	133
981	6921	126
982	6927	119
983	6934	112
984	6941	105
985	6947	98
986	6954	91
987	6960	84
988	6967	77
989	6974	70
990	6980	63
991	6986	56
992	6992	49
993	6997	42
994	7003	35
995	7009	28
996	7015	21
997	7023	14
998	7030	7
999	7037	0
