player_id,player_name
285421,Albert Sharipov
423853,Ibrokhimkhalil Yuldoshev
331383,Nikola Moro
420324,Luka Gagnidze
360758,Daniil Lesovoy
254686,Igor Leshchuk
433444,Georgi Sulakvelidze
411081,Ivan Budachev
395726,Vladislav Karapuzov
400185,Arsen Zakharyan
354056,Vyacheslav Grulev
393115,Denis Makarov
38190,Fedor Smolov
433443,Denis Osokin
404327,Konstantin Tyukavin
442550,Ruslan Shagiakhmetov
30202,Anton Shunin
410988,Saba Sazonov
326350,Dmitri Skopintsev
35890,Sergey Parshivlyuk
405809,Aleksandr Kutitskiy
322649,Daniil Fomin
419901,Yaroslav Gladyshev
135584,Diego Laxalt
148537,Artem Simonyan
282989,Denis Laptev
119772,Egor Baburin
7178,Igor Lebedenko
401777,Ivan Enin
38487,Ivan Temnikov
353900,Amur Kalmykov
26106,Aleksandr Ryazantsev
120712,Ravil Netfullin
442505,Aleksey Shumskikh
26765,Igor Smolnikov
143425,Aleksey Pomerko
397761,Mukhammad Sultonov
397619,David Karaev
429401,Bogdan Reykhmen
410990,Maksim Turishchev
442503,Vitali Botnar
442508,Dzambolat Tsallagov
442509,Andrey Evdokimov
397760,Oleg Kozhemyakin
442504,Artem Samsonov
442507,Hojimat Erkinov
125095,Tin Jedvaj
363535,Wilson Isidor
423855,Alexis Beka Beka
231150,François Kamano
141875,Gyrano Kerk
278156,Dmitri Barinov
143799,Anton Miranchuk
413681,Daniil Khudyakov
393073,Maksim Nenakhov
244050,Dmitri Zhivoglyadov
420070,Sergey Babkin
434598,Artem Karpukas
374555,Stanislav Magkeev
420071,Maksim Petrov
372377,Konstantin Maradishvili
360939,Nayair Tiknizyan
58610,Guilherme
349231,Daniil Kulikov
343086,Ivan Ignatjev
396542,Andrey Savin
404100,Mark Mampassi
418196,Marko Rakonjac
389162,Lucas Fasson
128035,Aleksandr Selyava
379242,Danila Prokhin
378567,Maksim Osipenko
367259,Daniil Utkin
353898,Danil Glebov
82406,Dmitri Poloz
140176,Nikolay Komlichenko
346765,Roman Tugarev
438832,Artem Ntumba
410991,Aleksandr Mukhin
442551,Mikhail Tsulaia
329279,Egor Golenkov
122261,Khoren Bayramyan
426053,Kirill Shchetinin
407265,Andrey Langovich
313593,Nikita Medvedev
419899,Viktor Melekhin
425938,Stepan Melnikov
107643,Denis Terentjev
40481,Sergey Pesjakov
328541,Evgeni Chernov
364107,Aleksey Mironov
396541,Aleksandr Siljanov
363308,Darko Todorovic
326581,Mohamed Konaté
